"ID","Area Maximum","Valid Landslide","Activity Velocity","Angle Rupture Surface","Angle Slope Displaced","Angle Slope Prior","Area Minimum","Latitude","Longitude","Length","Scarp","Travel Angle","Volume Maximum","Volume Minimum","Width","Width Rupture","CURVATURE","TWI","SLOPE_deg","DEM","SLOPE_deg.1","ASPECT_deg","LANDCOVER_CODE","ASPECT_rad","ASPECT_sin","ASPECT_cos","SLOPE_rad"
1,200,1,"Extremely Rapid",32,32,35,100,-36.819859,174.746298,20,4,32,"200",100,45,45,1.37964487075806,5.28641319274902,11.4418144226074,18.809871673584,11.4418144226074,222.978637695312,1,3.89171138939474,-0.681725632885012,-0.73160792878941,0.199697334076673
2,1,1,"Extremely Rapid",40,35,45,600,-36.798134,174.684934,30,5,30,"2,000",1,40,40,0.19054114818573,6.55506801605225,14.6713609695435,19.5146465301514,14.6713609695435,166.090866088867,1,2.89883247073973,0.240382787961447,-0.970678172852301,0.256063554667121
3,1.2,1,"Extremely Rapid",40,10,45,800,-36.852885,174.792092,75,1,53,"600",200,30,30,0.52875280380249,3.76068091392517,29.1802597045898,24.1946220397949,29.1802597045898,59.103946685791,11,1.03155847059024,0.858100277776215,0.513482145045359,0.509291608432121
4,300,1,"Rapid",35,30,30,200,-36.809204,174.718141,10,2,25,"150",80,10,13,-0.0876069068908691,5.85452127456665,15.3881301879883,69.3670272827148,15.3881301879883,57.3259162902832,1,1.0005259859881,0.841755059835806,0.539859629200794,0.268573537505929
5,600,1,"Unknown",50,30,30,200,-36.806508,174.690836,50,2,30,"1,250",750,20,20,-0.246518850326538,7.32857990264893,12.1521472930908,41.9897651672363,12.1521472930908,207.79704284668,2,3.62674257358229,-0.466340984670658,-0.88460504521306,0.212094981451751
6,300,1,"Extremely Rapid; Very Rapid",35,30,25,200,-36.809761,174.718009,20,2,25,"150",80,17,20,-0.212717056274414,6.41273736953735,11.8590927124023,76.4519119262695,11.8590927124023,53.2000885009766,2,0.928516706694416,0.800732296219655,0.599022361678425,0.206980214130686
7,150,1,"Rapid",45,45,45,100,-36.814291,174.713282,25,1,45,"225",100,8,8,0.365906953811646,4.13864421844482,14.3115291595459,61.4203453063965,14.3115291595459,242.538131713867,1,4.23308896004266,-0.887317941481124,-0.461158184060199,0.249783304829253
8,350,1,"Extremely Rapid",32,28,35,250,-36.790216,174.708104,30,4,30,"1,400",800,16,16,-1.40800476074219,10.1942853927612,13.0006113052368,32.6041374206543,13.0006113052368,258.0322265625,1,4.50351192976759,-0.978264387934925,-0.207361489429223,0.22690347204838
9,550,1,"Extremely Rapid",35,30,35,450,-36.814006,174.713944,20,2,25,"600",500,25,25,0.0515580177307129,4.65482568740845,12.8642320632935,67.6310958862305,12.8642320632935,306.305786132812,2,5.34604448592717,-0.805868492463571,0.592094564114965,0.224523205245094
10,800,1,"Extremely Rapid",40,10,45,500,-36.853101,174.792299,45,1,53,"400",100,17,17,0.945499539375305,4.25480508804321,29.5893802642822,21.6248207092285,29.5893802642822,54.0836563110352,2,0.943937874144574,0.809874344083,0.58660339821393,0.516432109236355
11,4,1,"Very Slow",7,10,10,1.8,-36.542706,174.58621,135,0,7,"3,600,000",900,45,45,1.16543769836426,3.49717116355896,13.6182861328125,129.599670410156,13.6182861328125,250.94856262207,4,4.3798786709023,-0.945225915281799,-0.326416863963375,0.237683931496264
12,1.1,1,"Extremely Rapid",35,40,35,850,-36.944683,174.663084,50,5,28,"2,000",1.35,25,25,0.535041093826294,4.44181203842163,33.3999099731445,53.0942153930664,33.3999099731445,29.1614570617676,2,0.508963440406796,0.487272333090681,0.873250063500922,0.582938398901063
13,NA,0,NA,NA,NA,NA,NA,-36.9557869786024,174.785135478212,NA,NA,NA,NA,NA,NA,NA,-0.041363388299942,10.7028617858887,1.46289277076721,4.48440742492676,1.46289277076721,176.260238647461,3,3.07632150474915,0.0652248126840576,-0.997870594721745,0.0255322954535105
14,NA,0,NA,NA,NA,NA,NA,-36.9425318025961,174.82261521644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
15,NA,0,NA,NA,NA,NA,NA,-36.9193577110977,174.802721114794,NA,NA,NA,NA,NA,NA,NA,-0.0190943479537964,9.24981212615967,1.18951892852783,16.7469291687012,1.18951892852783,194.526702880859,2,3.39513144831973,-0.25083118514307,-0.968030844839008,0.0207610218176058
16,NA,0,NA,NA,NA,NA,NA,-36.923599344783,174.51088096729,NA,NA,NA,NA,NA,NA,NA,1.3054370880127,5.1032247543335,23.631893157959,319.740875244141,23.631893157959,231.888717651367,1,4.04722162124385,-0.786813503622201,-0.617190821802914,0.412454344085905
17,NA,0,NA,NA,NA,NA,NA,-36.9169520892552,174.521382031476,NA,NA,NA,NA,NA,NA,NA,0.151205062866211,5.40032434463501,16.1175670623779,266.904052734375,16.1175670623779,258.223022460938,1,4.50684194639463,-0.978949479879202,-0.204102709056593,0.281304612649485
18,NA,0,NA,NA,NA,NA,NA,-36.8880129184807,174.493080224146,NA,NA,NA,NA,NA,NA,NA,0.32343864440918,4.66852235794067,20.5783939361572,247.176254272461,20.5783939361572,128.079559326172,1,2.23541001474511,0.787155103782355,-0.616755091255346,0.359160728958379
19,NA,0,NA,NA,NA,NA,NA,-36.6977980664698,174.693921498542,NA,NA,NA,NA,NA,NA,NA,-0.289106369018555,5.36599588394165,18.5950889587402,66.0483016967773,18.5950889587402,319.58203125,7,5.57775867552391,-0.648358698147263,0.761335010712621,0.324545527031261
