ID,Valid Landslide,Latitude,Longitude,CURVATURE,TWI,SLOPE_deg,DEM,ASPECT_deg,LANDCOVER_CODE,ASPECT_sin,ASPECT_cos
921,1,-36.833184,174.426685,0.543498992919922,5.00760078430176,32.6982154846191,24.669017791748,184.95524597168,16.0,-0.0863775834320149,-0.996262471982381
922,1,-36.833165,174.426468,0.217399001121521,4.54641151428223,37.3643989562988,23.5978851318359,188.635955810547,16.0,-0.150155805335092,-0.988662345861402
923,1,-36.833109,174.426375,0.0609874725341797,4.306236743927,37.0569877624512,27.2880611419678,182.630737304688,16.0,-0.045898896490356,-0.998946090287643
924,1,-36.832806,174.426595,1.09583139419556,3.49835824966431,25.8247470855713,40.7949600219727,166.614273071289,16.0,0.23150556607536,-0.972833579229319
925,1,-36.833497,174.425452,1.83026492595673,3.41909551620483,46.3356437683105,19.9960403442383,174.570495605469,16.0,0.0946209642856486,-0.995513371641815
926,1,-36.833424,174.425374,3.14175486564636,3.19884014129639,44.4045372009277,25.667459487915,175.444793701172,16.0,0.0794196205945453,-0.996841273154668
927,1,-36.833891,174.428181,-1.15222930908203,4.15887975692749,48.3665351867676,52.3175354003906,274.245056152344,2.0,-0.997256575943301,0.0740224407719875
928,1,-36.834175,174.428186,-0.795477628707886,3.82388591766357,50.7328987121582,55.4731750488281,278.208679199219,2.0,-0.989754614035129,0.142778863968628
929,1,-36.833946,174.432317,-0.521814823150635,4.30928516387939,28.2680759429932,124.287910461426,302.008148193359,10.0,-0.847972726277502,0.530039862170291
930,1,-36.825754,174.438695,1.18446350097656,3.13760876655579,46.158332824707,125.655006408691,342.951354980469,11.0,-0.293183517055271,0.956056183143596
931,1,-36.825635,174.43869,-0.530970096588135,3.56197786331177,48.6257247924805,114.012748718262,340.5654296875,11.0,-0.332730179658991,0.943022071610254
932,1,-36.81088,174.43414,-2.29048132896423,6.13663864135742,7.87852191925049,37.2868309020996,97.1917495727539,13.0,0.992132738653273,-0.125190370605556
933,1,-36.810809,174.435118,0.930708646774292,3.47692131996155,36.5627479553223,50.0135383605957,285.47412109375,10.0,-0.963751059034605,0.26680310382317
934,1,-36.80975,174.443155,-0.421106815338135,6.54941844940186,26.7340908050537,60.1459922790527,256.388427734375,4.0,-0.971913488128615,-0.235338419289473
935,1,-36.807285,174.443293,-0.0570476055145264,4.64123106002808,28.3763866424561,49.8623313903809,2.15705585479736,4.0,0.0376388341032232,0.999291408032387
936,1,-36.806528,174.44399,-0.811520218849182,11.7819719314575,11.0679597854614,26.0591526031494,341.3310546875,4.0,-0.32009954934732,0.94738391294535
937,1,-36.806233,174.443946,-0.418558716773987,6.32471990585327,7.34975099563599,22.5839290618896,319.422149658203,4.0,-0.650480646153605,0.759522829794858
938,1,-36.799452,174.439651,-0.414437055587769,5.07266283035278,28.8715686798096,27.79368019104,63.6074447631836,4.0,0.895769526629922,0.444518790560314
939,1,-36.800163,174.441444,-0.779187679290771,4.89512205123901,30.906400680542,28.4770355224609,222.074188232422,4.0,-0.670092290577172,-0.74227779308628
940,1,-36.800757,174.448664,-0.196349620819092,5.14627933502197,13.1072568893433,41.8549423217773,104.708465576172,4.0,0.96723024892913,-0.253900857730911
941,1,-36.799715,174.449258,-0.519108772277832,13.9721508026123,1.6056193113327,39.366756439209,169.515121459961,4.0,0.181976019236945,-0.983302968785651
942,1,-36.797268,174.450639,0.256001949310303,5.18006610870361,10.2086486816406,82.1729202270508,264.173797607422,4.0,-0.99483438992986,-0.101511263477916
943,1,-36.798796,174.448384,-0.64091682434082,7.34269237518311,12.2704219818115,44.8791732788086,74.0564575195312,4.0,0.961532833896282,0.274690024098775
944,1,-36.798681,174.444891,1.1336088180542,3.44453477859497,27.054012298584,84.3514938354492,103.148712158203,4.0,0.973782919179228,-0.227479287661054
945,1,-36.798588,174.444875,0.59964656829834,4.05573415756226,29.000825881958,85.0690612792969,94.456428527832,4.0,0.996976710911928,-0.0777009517266877
946,1,-36.798405,174.444637,0.603032112121582,4.12862873077393,27.264684677124,91.3829727172852,96.2972030639648,4.0,0.993966311032789,-0.109685790017981
947,1,-36.798439,174.444834,0.279474258422852,4.40162515640259,30.4706478118896,85.3526153564453,92.2261810302734,4.0,0.999245270964409,-0.0388444134370062
948,1,-36.798121,174.444902,-0.554132461547852,5.04300308227539,29.595760345459,82.6102523803711,95.286376953125,4.0,0.995746632718154,-0.0921338343414508
949,1,-36.797863,174.44487,-0.372433662414551,4.96232175827026,26.7371196746826,87.9948501586914,108.635803222656,4.0,0.947568912373457,-0.319551492413011
950,1,-36.797589,174.44504,0.0490427017211914,4.80825805664062,24.5639724731445,90.7390975952148,180.952499389648,4.0,-0.0166234847544021,-0.9998618203305
951,1,-36.797638,174.445334,0.431704521179199,4.01277208328247,23.46067237854,90.3121185302734,173.108016967773,4.0,0.119997928586096,-0.99277414205601
952,1,-36.798916,174.445575,-1.67096257209778,5.70068168640137,10.6056108474731,58.1850471496582,109.376022338867,4.0,0.943361581173094,-0.331766374376006
953,1,-36.797823,174.44306,-1.52385234832764,5.50861215591431,28.8562870025635,79.8464431762695,272.2939453125,4.0,-0.999198630431771,0.0400262032083025
954,1,-36.797674,174.442963,-0.869071483612061,5.78840351104736,17.6686592102051,78.0632095336914,250.641693115234,4.0,-0.94346411592007,-0.331474677722388
955,1,-36.796791,174.443602,-0.589525699615479,5.99099493026733,19.807445526123,106.86238861084,209.74494934082,4.0,-0.496139969473104,-0.86824255291435
956,1,-36.79667,174.443344,-0.40590763092041,5.78849315643311,22.612340927124,107.634796142578,187.103652954102,4.0,-0.123664743680182,-0.992324055523454
957,1,-36.797364,174.441987,0.0564694404602051,5.52594900131226,25.5408134460449,91.7203979492188,177.450912475586,4.0,0.0444752947493414,-0.999010484508025
958,1,-36.797236,174.44192,0.235068798065186,5.41767549514771,24.7730655670166,96.8375244140625,177.202896118164,4.0,0.0487992832816741,-0.99880860526489
