Area Maximum,Valid Landslide,Latitude,Longitude,X Coordinate,Y Coordinate
9,1,-36.779139,174.646163,1746897.45,5928364.3
9,1,-36.778054,174.645028,1746798.2,5928486.49
9,1,-36.77768,174.642699,1746591.07,5928531.53
46,1,-36.777893,174.64286,1746605.04,5928507.64
9,1,-36.775462,174.644225,1746731.45,5928775.1899999995
225,1,-36.776341,174.633689,1745789.55,5928693.87
46,1,-36.775554,174.630801,1745533.28,5928785.52
46,1,-36.766062,174.649903,1747256.22,5929809.34
46,1,-36.767472,174.649456,1747213.59,5929653.59
46,1,-36.768261,174.652426,1747477.22,5929561.49
46,1,-36.769193,174.654315,1747644.01,5929455.24
46,1,-36.770047,174.659464,1748101.99,5929352.54
46,1,-36.765138,174.669005,1748963.05,5929882.2700000005
225,1,-36.771463,174.66283,1748399.6900000002,5929190.149999999
225,1,-36.771683,174.662651,1748383.29,5929166.07
46,1,-36.780278,174.670656,1749081.09,5928200.04
46,1,-36.781058,174.670757,1749088.52,5928113.37
225,1,-36.777255,174.661575,1748276.5,5928549.619999999
46,1,-36.7775,174.661492,1748268.6400000001,5928522.470000001
46,1,-36.777785,174.661322,1748252.9,5928491.14
225,1,-36.77909,174.665592,1748631.46,5928339.76
225,1,-36.778851,174.665762,1748647.02,5928365.95
46,1,-36.778695,174.665874,1748657.34,5928383.149999999
225,1,-36.778532,174.665998,1748668.73,5928401.03
46,1,-36.808112,174.708308,1752386.04,5925052.67
9,1,-36.808078,174.708224,1752378.6300000001,5925056.64
46,1,-36.807937,174.70793,1752352.7,5925072.78
225,1,-36.807494,174.690873,1750831.87,5925148.98
225,1,-36.80757,174.687536,1750534.09,5925145.81
133,1,-36.807667,174.687781,1750555.71,5925134.619999999
46,1,-36.787039,174.682871,1750157.97,5927430.88
46,1,-36.794154,174.783225,1759098.4,5926479.22
9,1,-36.794298,174.783356,1759109.77,5926463.08
9,1,-36.794691,174.783564,1759127.5,5926419.159999999
46,1,-36.794121,174.783201,1759096.28,5926482.92
46,1,-36.794445,174.783455,1759118.24,5926446.57
46,1,-36.794706,174.783573,1759128.29,5926417.46
46,1,-36.795266,174.783868,1759153.43,5926354.76
46,1,-36.796583,174.785835,1759326.2,5926205.37
46,1,-36.798025,174.787167,1759442.09,5926043.18
225,1,-36.798078,174.787174,1759442.62,5926037.359999999
9,1,-36.797692,174.786664,1759397.9,5926081.02
46,1,-36.797661,174.786631,1759394.99,5926084.46
46,1,-36.797153,174.785878,1759328.85,5926142.14
46,1,-36.797011,174.78613000000001,1759351.6,5926157.48
46,1,-36.796662,174.785999,1759340.71,5926196.38
225,1,-36.796193,174.784963,1759249.21,5926250.09
225,1,-36.932072,174.725932,1753709.6300000001,5911271.8
46,1,-36.933186,174.725048,1753628.6600000001,5911149.56
46,1,-36.932266,174.725315,1753654.33,5911251.159999999
46,1,-36.932013,174.724403,1753573.6300000001,5911280.79
46,1,-36.932007,174.724629,1753593.74,5911281.06
46,1,-36.931935,174.724327,1753567.02,5911289.52
46,1,-36.934811,174.723531,1753490.29,5910971.76
9,1,-36.911246,174.690766,1750618.55,5913638.46
46,1,-36.913556,174.691878,1750713.01,5913380.39
46,1,-36.899275,174.783482,1758903.5,5914816.06
46,1,-36.898996,174.783486,1758904.46,5914847.08
46,1,-36.899084,174.783632,1758917.25,5914837.07
46,1,-36.899731,174.779804,1758574.81,5914771.609999999
46,1,-36.899898,174.779649,1758560.6900000002,5914753.38
225,1,-36.900049,174.779455,1758543.12,5914736.98
46,1,-36.900246,174.779327,1758531.25,5914715.25
46,1,-36.900336,174.779278,1758526.7,5914705.41
225,1,-36.901001,174.780272,1758613.8800000001,5914629.95
9,1,-36.90087,174.780595,1758642.98,5914643.92
46,1,-36.900931,174.780664,1758649.01,5914637.04
46,1,-36.900479,174.779358,1758533.55,5914689.35
9,1,-36.900797,174.78111,1758688.98,5914651.22
46,1,-36.901188,174.781416,1758715.49,5914607.319999999
46,1,-36.901115,174.781425,1758716.45,5914615.42
9,1,-36.901175,174.782386,1758801.8900000001,5914607.14
9,1,-36.901968,174.782489,1758809.41,5914519.02
9,1,-36.916503,174.766193,1757327.57,5912933.37
46,1,-36.899026,174.780949,1758678.33,5914847.99
46,1,-36.924632,174.721076,1753292.05,5912105.04
9,1,-36.92435,174.720308,1753224.1700000002,5912137.48
46,1,-36.924816,174.718155,1753031.53,5912089.2700000005
9,1,-36.92459,174.718265,1753041.74,5912114.119999999
46,1,-36.926031,174.716942,1752921,5911956.470000001
46,1,-36.925663,174.716837,1752912.43,5911997.430000001
